# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Sep 26 16:49:42 EAT 2024 [seed=1727358581515]
# ../beast_run/timetree_beast.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Kenyan.Other	location.rates.Other.Kenyan	location.indicators.Kenyan.Other	location.indicators.Other.Kenyan	location.nonZeroRates	location.branchRates	location.treeLikelihood
120000	-231.6562229172838	-37.30497031692333	-194.35125260036048	0.23153134028269745	0.23153134028269748	0.9763740274754513	0.031375519832917434	1.0	1.0	2.0	0.0	-194.35125260036048
121000	-231.4132840240107	-42.4222585706441	-188.9910254533666	0.26323807149391076	0.2632380714939103	0.9077540372882578	0.044527066229965065	1.0	1.0	2.0	0.0	-188.9910254533666
122000	-229.74021951412277	-41.52489996699026	-188.2153195471325	0.2507136738573603	0.2507136738573601	2.088434693455917	0.008790964421943439	1.0	1.0	2.0	0.0	-188.2153195471325
123000	-230.04321369048554	-46.82008986657355	-183.223123823912	0.2783868670753848	0.2783868670753843	2.877941182554198	0.0034225497240043304	1.0	1.0	2.0	0.0	-183.223123823912
124000	-234.0711477083948	-50.32036309998189	-183.75078460841289	0.29554478006045215	0.2955447800604518	3.45393218421423	0.1333195014520762	1.0	1.0	2.0	0.0	-183.75078460841289
125000	-232.39460128544587	-49.755913011434785	-182.6386882740111	0.2969610555003183	0.2969610555003175	2.726312190137656	0.06590895104915293	1.0	1.0	2.0	0.0	-182.6386882740111
126000	-229.61792871429424	-40.009733128303466	-189.60819558599076	0.2410774712438867	0.2410774712438865	2.138626737449095	0.015612546485898634	1.0	1.0	2.0	0.0	-189.60819558599076
127000	-231.02844315461414	-36.39727230362054	-194.63117085099358	0.22696127572109281	0.22696127572109248	0.8219215990245355	0.02442612969555588	1.0	1.0	2.0	0.0	-194.63117085099358
128000	-233.3567618634921	-37.92712701050838	-195.42963485298372	0.21533409956588495	0.2153340995658849	4.273567688461111	0.002298356264937175	1.0	1.0	2.0	0.0	-195.42963485298372
129000	-232.48505547733427	-31.25686813479179	-201.22818734254247	0.1923822839648415	0.192382283964841	1.3458136247090147	0.014140603980200426	1.0	1.0	2.0	0.0	-201.22818734254247
130000	-231.18682641002025	-53.3538135589399	-177.83301285108035	0.3246255056620861	0.32462550566208476	1.8820140153836515	0.006279020538074476	1.0	1.0	2.0	0.0	-177.83301285108035
131000	-230.93062935921273	-53.5188609557219	-177.41176840349084	0.3253553038199768	0.32535530381997607	1.9340788580224209	5.537790673791193E-4	1.0	1.0	2.0	0.0	-177.41176840349084
132000	-232.26791770141122	-49.22097807815558	-183.04693962325564	0.28866650512847974	0.2886665051284791	3.5784742935029583	0.029393391942538906	1.0	1.0	2.0	0.0	-183.04693962325564
133000	-229.1154667023306	-48.43790731391018	-180.6775593884204	0.3035400392345033	0.3035400392345025	0.39817520510041976	0.005078871555309011	1.0	1.0	2.0	0.0	-180.6775593884204
134000	-231.44199079646123	-44.55056910862726	-186.89142168783397	0.2631455000907867	0.26314550009078636	3.0451216577137488	0.05056094067335366	1.0	1.0	2.0	0.0	-186.89142168783397
135000	-231.03793292337463	-42.245578256017936	-188.79235466735668	0.2586653822219522	0.25866538222195135	1.4831060929113478	0.038007653474457524	1.0	1.0	2.0	0.0	-188.79235466735668
136000	-233.68414979183746	-45.09471955778408	-188.58943023405337	0.27755577977241597	0.2775557797724157	1.1960341455862287	0.09535888560519953	1.0	1.0	2.0	0.0	-188.58943023405337
137000	-231.56628315487296	-42.033782071538454	-189.53250108333452	0.25116091078438035	0.25116091078437935	2.4602610475585376	0.07289681933807579	1.0	1.0	2.0	0.0	-189.53250108333452
138000	-231.15848878685017	-36.03416926964108	-195.12431951720907	0.21858831823879843	0.21858831823879787	1.812049400559226	0.03903988257784727	1.0	1.0	2.0	0.0	-195.12431951720907
139000	-229.44869016381188	-45.45437362375419	-183.99431654005767	0.2768814102063623	0.27688141020636176	1.7520680364391874	0.008849722280073993	1.0	1.0	2.0	0.0	-183.99431654005767
140000	-231.26614451855215	-47.31792368935088	-183.9482208292013	0.28727247076265416	0.28727247076265433	1.8904703724856453	0.04137004119356412	1.0	1.0	2.0	0.0	-183.9482208292013
141000	-230.30405197218695	-37.1083697207877	-193.19568225139926	0.2286216420255134	0.22862164202551308	1.2680659115380577	0.018216701829721346	1.0	1.0	2.0	0.0	-193.19568225139926
142000	-229.3452597564123	-40.83118046591649	-188.51407929049583	0.24592801183534724	0.2459280118353469	2.1780217427595647	0.006186074848672755	1.0	1.0	2.0	0.0	-188.51407929049583
143000	-228.80106194086233	-43.01368673753238	-185.78737520332993	0.26852613541985615	0.268526135419856	0.6696814791225709	0.012070832164967705	1.0	1.0	2.0	0.0	-185.78737520332993
144000	-233.45441162953244	-39.54247399135134	-193.91193763818112	0.23829159758678445	0.238291597586783	2.0370162069828712	0.10463519229469818	1.0	1.0	2.0	0.0	-193.91193763818112
145000	-232.50768552398551	-40.59285898465958	-191.91482653932593	0.24816902125732332	0.24816902125732282	1.5045634362880225	0.07571612218707031	1.0	1.0	2.0	0.0	-191.91482653932593
146000	-229.7097998672196	-37.649759978731105	-192.0600398884885	0.23230913448186918	0.23230913448186866	1.2085628566374929	0.016981381525604636	1.0	1.0	2.0	0.0	-192.0600398884885
147000	-229.63695452985291	-37.914919799968246	-191.72203472988465	0.2300675536766081	0.23006755367660817	1.8495661260285503	0.007149167670241451	1.0	1.0	2.0	0.0	-191.72203472988465
