# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Sep 28 07:45:54 EAT 2024 [seed=876754398712]
# -seed 876754398712 ../../beast_run/kenya_continous.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate	coordinates.traitLikelihood
3200000	-567.41131433859	-267.62938927325195	-299.7819250653381	0.298410890246328	0.19986348607902432	0.19986348607902432	0.22362991463426654	-0.7736796522624726	8.348078921499837	-7.460880884574289	-7.460880884574289	11.139644116421154	560.4779050878266	-299.7819250653381
3250000	-554.8067184763404	-241.23247696192493	-313.57424151441546	0.31967252185503325	0.19494354366811917	0.19494354366811917	0.22403444748223286	-0.7284484147951771	6.664781682446847	-5.799358864460323	-5.799358864460322	9.509910605198241	563.8964148188094	-313.57424151441546
3300000	-574.8430324442722	-256.1401213949316	-318.70291104934057	0.3136392429751338	0.19892348709627206	0.19892348709627206	0.19465160500189277	-0.805085251403516	9.06206521387497	-9.26094399591673	-9.26094399591673	14.60157121973591	561.7240848416114	-318.70291104934057
3350000	-567.4584078041075	-264.0400485868202	-303.4183592172873	0.28070653438138565	0.17648874094981065	0.17648874094981065	0.19335975610533346	-0.7575437141429369	8.360031115686988	-7.630602125424072	-7.630602125424071	12.13652421306666	563.119931453688	-303.4183592172873
3400000	-586.5069235144427	-265.5157629211409	-320.99116059330186	0.2700918014752497	0.1727059331119187	0.1727059331119187	0.197809217761357	-0.7471852568063456	8.381992064520377	-7.318262400623523	-7.318262400623523	11.44490313585286	559.709641920188	-320.99116059330186
3450000	-579.0415382636122	-276.2415277527112	-302.800010510901	0.27391372850365836	0.16896223430560142	0.16896223430560142	0.19109696483634175	-0.7385090971827825	8.030686056334481	-7.100492989238041	-7.10049298923804	11.510989523129194	561.273406593389	-302.800010510901
3500000	-567.5242812914089	-274.0929206374344	-293.4313606539744	0.29862706725284405	0.18291267309330628	0.18291267309330628	0.1971584165346809	-0.7538267615597628	7.756098203770945	-7.195678886862951	-7.195678886862952	11.747816302378062	560.1730288209075	-293.4313606539744
3550000	-611.9975835720122	-319.8090345575522	-292.18854901446	0.24761847933025005	0.15605337796788982	0.15605337796788982	0.1826609536133075	-0.7337680329595277	8.749147850439808	-7.47469039985437	-7.474690399854372	11.860502440755887	556.7977489323704	-292.18854901446
3600000	-578.9342253846062	-272.1571556897482	-306.777069694858	0.2835537890736126	0.18377233137522844	0.18377233137522844	0.21467956804647273	-0.7448469452792597	7.9214819209362375	-6.7810328379365945	-6.781032837936595	10.462878392196835	561.6037933978032	-306.777069694858
3650000	-545.9791195386987	-251.46083612285898	-294.51828341583973	0.3373009623411906	0.1884985677702088	0.1884985677702088	0.22674427821394055	-0.6816023769698457	5.537188270872454	-4.603212335742571	-4.603212335742571	8.237027840973337	554.8344982864073	-294.51828341583973
