# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Feb 19 12:45:00 EAT 2025 [seed=1739958299565]
# ../beast_run/FY.4_may.xml
state	location.rates.Kenya.Others	location.rates.Others.Kenya	location.indicators.Kenya.Others	location.indicators.Others.Kenya	location.nonZeroRates
145000	3.3669126888454306	0.1510209473900143	1.0	1.0	2.0
146000	0.2948089639717623	9.448951175944236E-4	1.0	1.0	2.0
147000	1.8241403872924051	0.01588416439418887	1.0	1.0	2.0
148000	1.0451168955822467	0.02802068119734472	1.0	1.0	2.0
149000	1.4699486673627067	0.029295666723319444	1.0	1.0	2.0
150000	1.1422644900143577	0.010135729785386793	1.0	1.0	2.0
151000	0.4225146846067593	0.0017874739746451536	1.0	1.0	2.0
152000	1.0884932330862043	9.273217615830031E-4	1.0	1.0	2.0
153000	0.13815952020815414	0.0018869358796428308	1.0	1.0	2.0
154000	3.013407755137557	0.10647373353221716	1.0	1.0	2.0
155000	2.777776500186425	0.01928239137560046	1.0	1.0	2.0
156000	2.9013406909548136	0.001403146864991726	1.0	1.0	2.0
157000	1.8395098897350255	0.015089555986262411	1.0	1.0	2.0
158000	0.6075032966782403	0.004269626435073539	1.0	1.0	2.0
159000	0.39948055756531176	0.0053045550123088725	1.0	1.0	2.0
160000	0.8822921891944148	0.03640598444526083	1.0	1.0	2.0
161000	0.259687695158091	0.002723139355132893	1.0	1.0	2.0
162000	0.9176306709526034	0.004991765254597591	1.0	1.0	2.0
163000	0.2761946980728848	0.01583418416359868	1.0	1.0	2.0
164000	0.7090037311966252	0.00461854143996219	1.0	1.0	2.0
165000	2.7900590525105318	0.01983601401967624	1.0	1.0	2.0
166000	2.269786136405013	0.04686819829670236	1.0	1.0	2.0
167000	0.8997621728416683	0.013797733517002283	1.0	1.0	2.0
168000	0.5267387750469579	0.02659491000880365	1.0	1.0	2.0
169000	0.3035922947436698	0.002446065714440584	1.0	1.0	2.0
170000	1.5363002254667848	0.01863241991331751	1.0	1.0	2.0
171000	0.43643238266075224	0.004635328895036704	1.0	1.0	2.0
172000	1.2745719092759678	0.016595515731301202	1.0	1.0	2.0
173000	2.148403969501279	0.004314800278573205	1.0	1.0	2.0
174000	1.3239906305262774	0.006812224240483835	1.0	1.0	2.0
175000	0.7602041526992183	0.015171683164312218	1.0	1.0	2.0
176000	2.4590928647499997	0.019168135481250435	1.0	1.0	2.0
177000	2.376786949662502	0.07289506463314395	1.0	1.0	2.0
178000	0.4718448065592053	0.001921038849603256	1.0	1.0	2.0
179000	1.0000552277024617	0.009134340091282825	1.0	1.0	2.0
